Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Std. Lower Bound,PCA Lower Bound,PCA Conf estimation
?a  <http://www.wikidata.org/prop/direct/P22>  ?f  ?b  <http://www.wikidata.org/prop/direct/P22>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b,0.12170088,0.08982684,0.512345679,166,1848,324,?b,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P21>  ?b  ?e  <http://www.wikidata.org/prop/direct/P22>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P21>  ?b,0.083281925,0.088120104,0.950704225,135,1532,142,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P25>  ?f  ?b  <http://www.wikidata.org/prop/direct/P25>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b,0.117302053,0.087960418,0.504731861,160,1819,317,?b,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P734>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P734>  ?b,0.080120482,0.084767368,0.904761905,133,1569,147,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P27>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.063565891,0.082054703,0.773584906,123,1499,159,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P3373>  ?a  ?e  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.065336658,0.07853717,0.744318182,131,1668,176,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P26>  ?a  ?e  <http://www.wikidata.org/prop/direct/P53>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P53>  ?b,0.052631579,0.073394495,0.5,8,109,16,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.064837905,0.067322631,0.797546012,130,1931,163,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P3373>  ?a  ?e  <http://www.wikidata.org/prop/direct/P53>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P53>  ?b,0.138157895,0.063063063,1,21,333,21,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P27>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P27>  ?b,0.05994832,0.062634989,0.686390533,116,1852,169,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P19>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P19>  ?b,0.049662784,0.062164236,0.512658228,81,1303,158,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P53>  ?f  ?b  <http://www.wikidata.org/prop/direct/P53>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b,0.015395894,0.053299492,0.21875,21,394,96,?b,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P106>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P106>  ?b,0.040766804,0.047337278,448,168,3549,375,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P734>  ?f  ?b  <http://www.wikidata.org/prop/direct/P734>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P3373>  ?b,0.113636364,0.046476762,0.307539683,155,3335,504,?b,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P25>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b,0.110032362,0.044973545,1,68,1512,68,?b,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P106>  ?b  ?e  <http://www.wikidata.org/prop/direct/P22>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P106>  ?b,0.038825528,0.039830719,0.549828179,160,4017,291,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P19>  ?b  ?e  <http://www.wikidata.org/prop/direct/P22>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.027930175,0.035375869,0.361290323,56,1583,155,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P20>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.017955112,0.033771107,0.251748252,36,1066,143,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P19>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.021446384,0.033000767,0.272151899,43,1303,158,?a,0.0,0.0,0.0
?b  <http://www.wikidata.org/prop/direct/P26>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b,0.03236246,0.03236246,0.909090909,20,618,22,?b,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P19>  ?b  ?e  <http://www.wikidata.org/prop/direct/P22>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P19>  ?b,0.024524831,0.025268478,0.258064516,40,1583,155,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P20>  ?b  ?e  <http://www.wikidata.org/prop/direct/P22>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P937>  ?b,0.013965087,0.024669604,0.229508197,28,1135,122,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P3373>  ?a  ?e  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P19>  ?b,0.024524831,0.023980815,0.227272727,40,1668,176,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P20>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P19>  ?b,0.014714899,0.022514071,0.167832168,24,1066,143,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P19>  ?b,0.025137952,0.021232522,0.251533742,41,1931,163,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P20>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.019147084,0.020637899,0.171875,22,1066,128,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P3373>  ?a  ?e  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.029590949,0.020383693,0.225165563,34,1668,151,?a,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P53>  ?f  ?b  <http://www.wikidata.org/prop/direct/P53>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b,0.012944984,0.020304569,0.156862745,8,394,51,?b,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P19>  ?b  ?e  <http://www.wikidata.org/prop/direct/P3373>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.019147084,0.016884114,0.164179104,22,1303,134,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P20>  ?b  ?e  <http://www.wikidata.org/prop/direct/P22>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.015665796,0.015859031,0.173076923,18,1135,104,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?a  ?e  <http://www.wikidata.org/prop/direct/P937>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.025239339,0.015018125,0.213235294,29,1931,136,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P25>  ?a  ?e  <http://www.wikidata.org/prop/direct/P53>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P53>  ?b,0.013157895,0.01459854,1,2,137,2,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P19>  ?b  ?e  <http://www.wikidata.org/prop/direct/P22>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P20>  ?b,0.018276762,0.013265951,0.1640625,21,1583,128,?a,0.0,0.0,0.0
?e  <http://www.wikidata.org/prop/direct/P22>  ?b  ?e  <http://www.wikidata.org/prop/direct/P25>  ?a   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b,0.011326861,0.00462963,1,7,1512,7,?b,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P734>  ?f  ?b  <http://www.wikidata.org/prop/direct/P734>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P26>  ?b,0.019417476,0.003598201,0.206896552,12,3335,58,?b,0.0,0.0,0.0
?a  <http://www.wikidata.org/prop/direct/P25>  ?f  ?f  <http://www.wikidata.org/prop/direct/P53>  ?b   => ?a  <http://www.wikidata.org/prop/direct/P53>  ?b,0.026315789,1,1,4,4,4,?a,0.0,0.0,0.0
?f  <http://www.wikidata.org/prop/direct/P17>  ?b  ?a  <http://www.wikidata.org/prop/direct/P17>  ?f   => ?a  <http://www.wikidata.org/prop/direct/P17>  ?b,0.489932886,1,1,438,438,438,?a,0.0,0.0,0.0
