Restaurant ID,Restaurant Name,City,country name,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
7945,Donald's Pastry Shop,Noida,India,"J-55, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.324135,28.567849,bakery,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.8,Yellow,Good,402
7956,Mad Over Donuts,Noida,India,"J-52,Ground Floor,  Main Market, Sector 18, Noida",Sector 18,"Sector 18, Noida",77.324238,28.568278,Desserts,450,Indian Rupees(Rs.),No,Yes,No,No,1,4.2,Green,Very Good,235
7979,Hari Sweets,Noida,India,"14, Alaknanda Shopping Complex, Sector 28, Noida",Sector 28,"Sector 28, Noida",77.333096,28.571464,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,14
7982,Shri Adarsh Kulfi,Noida,India,"Ground Floor, Sab Mall, Sector 27, Noida",Sector 27,"Sector 27, Noida",77.323603,28.573803,Desserts,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
7983,221 B Baker Street,Noida,India,"10, Brahmaputra Shoping Complex, Sector 29, Noida",Brahmaputra Shopping Complex,"Brahmaputra Shopping Complex, Noida",77.332667,28.570356,bakery,200,Indian Rupees(Rs.),No,Yes,No,No,1,3.5,Yellow,Good,94
7986,Himalaya Momos & Roll,Noida,India,"Lakhi Ram Market, Near Sabji Mandi, Sector 27, Noida",Sector 27,"Sector 27, Noida",77.324321,28.573512,FAST FOOD,200,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,15
7991,Grill Point,Noida,India,"Alaknanda Shopping Complex, Sector 28, Noida",Sector 28,"Sector 28, Noida",77.333062,28.571496,FAST FOOD,200,Indian Rupees(Rs.),No,No,No,No,1,3.2,Orange,Average,20
7992,Lakshmi Coffee House,Noida,India,"Brahmaputra Shopping Complex, Sector 29, Noida",Brahmaputra Shopping Complex,"Brahmaputra Shopping Complex, Noida",77.332667,28.570087,indian,300,Indian Rupees(Rs.),No,No,No,No,1,3.8,Yellow,Good,603
8012,US Pizza,Noida,India,"Food Court, 2nd Floor, Spice World Mall, Sector 25-A, Near, Sector 25, Noida","Spice World Mall, Sector 25","Spice World Mall, Sector 25, Noida",77.341021,28.585493,FAST FOOD,650,Indian Rupees(Rs.),No,Yes,No,No,2,2.2,Red,Poor,134
8017,Republic of Chicken,Noida,India,"17, Jalvayu Vihar Shopping Complex, Sector 25, Noida",Sector 25,"Sector 25, Noida",77.338269,28.584424,FAST FOOD,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,37
8019,Longitude 77ŒÁ03' Bar - Le Meridien Gurgaon,Gurgaon,India,"Le Meridien Gurgaon, Sector 26, Gurgaon Delhi Border, MG Road, Gurgaon","Le Meridien Gurgaon, MG Road","Le Meridien Gurgaon, MG Road, Gurgaon",77.108199,28.480587,Finger Food,1600,Indian Rupees(Rs.),Yes,No,No,No,3,3.4,Orange,Average,23
8022,Lajwaab Restaurant,Noida,India,"22, Opposite Bal Bharti School, Jalvayu Vihar Shopping Complex, Sector 25, Noida",Sector 25,"Sector 25, Noida",77.338177,28.584322,indian,500,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average,59
8026,Aggarwal Sweets Centre,Faridabad,India,"HR 1B, Pul Pehladpur, Main Suraj Kund Road, Suraj Kund, Faridabad",Suraj Kund,"Suraj Kund, Faridabad",77.289923,28.499718,Chinese,100,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
